Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
HDD,WD80EFAX,WD,Red 8TB (2017),38,88.2,3531,https://hdd.userbenchmark.com/SpeedTest/314696/WDC-WD80EFAX-68LHPN0
HDD,HDWD130XZSTA,Toshiba,P300 3TB,39,88.2,59214,https://hdd.userbenchmark.com/Toshiba-P300-3TB/Rating/3591
HDD,HDWD130EZSTA,Toshiba,P300 3TB,39,88.2,59214,https://hdd.userbenchmark.com/Toshiba-P300-3TB/Rating/3591
HDD,HDWD130UZSVA,Toshiba,P300 3TB,39,88.2,59214,https://hdd.userbenchmark.com/Toshiba-P300-3TB/Rating/3591
HDD,WD1005FBYZ,WD,Gold 1TB (2016),40,88,2421,https://hdd.userbenchmark.com/SpeedTest/204853/WDC-WD1005FBYZ-01YCBB1
HDD,,Toshiba,DT01ACA200 2TB,41,87.2,261012,https://hdd.userbenchmark.com/Toshiba-DT01ACA200-2TB/Rating/2736
HDD,HDWE150XZSTA,Toshiba,X300 5TB,42,87.1,10424,https://hdd.userbenchmark.com/Toshiba-X300-5TB/Rating/3593
HDD,HDWE150EZSTA,Toshiba,X300 5TB,42,87.1,10424,https://hdd.userbenchmark.com/Toshiba-X300-5TB/Rating/3593
HDD,HDWE140XZSTA,Toshiba,X300 4TB,43,86.9,17545,https://hdd.userbenchmark.com/Toshiba-X300-4TB/Rating/3592
HDD,HDWE140EZSTA,Toshiba,X300 4TB,43,86.9,17545,https://hdd.userbenchmark.com/Toshiba-X300-4TB/Rating/3592
HDD,PH3600U-1I72,Toshiba,MD04ACA600 6TB,44,86.8,499,https://hdd.userbenchmark.com/SpeedTest/35546/TOSHIBA-MD04ACA600
HDD,HUS156045VLS600,Hitachi,UltraStar 15K600 450GB,45,86.7,92,https://hdd.userbenchmark.com/SpeedTest/9674/HITACHI-HUS156045VLS600
HDD,ST2000NC001,Seagate,Constellation CS 2TB,46,86.1,522,https://hdd.userbenchmark.com/SpeedTest/10959/ST2000NC001-1DY164
HDD,WD3001FFSX,WD,Red Pro 3TB (2014),47,86,463,https://hdd.userbenchmark.com/SpeedTest/27132/WDC-WD3001FFSX-68JNUN0
HDD,ST2000NM0033,Seagate,Constellation ES.3 2TB,48,85.9,3502,https://hdd.userbenchmark.com/SpeedTest/12036/ST2000NM0033-9ZM175
HDD,0S03835,HGST,Deskstar NAS 5TB,49,85.7,550,https://hdd.userbenchmark.com/SpeedTest/36844/HGST-HDN726050ALE610
